"","id","group","author_sign","author_full_name","title","city","printing_h","year","pages","size","nlr_1","rsl","roz_1","us_harvard","cz_slk","lt_vul","pl_bn","pl_buw","ee_ester","fi_sl","n_total"
"46",51,"sep_lyr",NA,NA,"Три дня на фоминой неделе, или Продажа остатков : Шуточное стихотворение","М.","Пономарева",1834,12,18,1,1,0,0,0,0,0,0,0,0,2
"47",53,"sep_lyr","Зегельбах Федор","Зегельбах Христиан Фридрих","Дань удивления памятнику императора Александра I в день торжественного освящения оного, 30 августа 1834 года, изреченная в слоге древних латинских надписей с российским и немецким переводом","СПб.","Widerholm",1834,6,42,1,1,0,0,0,0,0,0,0,0,2
"48",54,"sep_nar",NA,NA,"Царь-девица : [Сказка в стихах]","М.","А. Семена",1835,23,24,1,1,1,0,0,0,0,0,0,0,3
"49",55,"sep_nar","П. С.",NA,"Поселенцы : Повесть в стихах","СПб.","Степанова",1835,96,18,1,1,0,0,1,0,0,0,0,0,3
"50",56,"sep_nar","В. Я-о-е-а","Яковлев В.","Мщение черкеса : Ахалцихское событие","СПб.","Иверсена",1835,24,16,1,1,0,0,0,0,0,0,0,0,2
"51",57,"sep_nar","П. К.","Кукольник Павел Васильевич","Мария: Фантастическая повесть в стихах П.К.","Вильно","Гликсберга",1835,29,21,1,0,0,0,0,1,0,0,0,0,2
"52",58,"sep_nar","Неведомский Н.","Неведомский Николай Васильевич","Бурка: Поэма","М.","А. Семена",1835,36,21,1,1,0,1,0,0,0,0,0,0,3
"53",59,"sep_nar","Кистерзунк А.","Кистерзунк Антон","Померанская быль : [Стихотворение]","СПб.","Плюшара",1835,22,21,1,0,0,0,0,0,0,0,0,0,1
"54",60,"sep_nar","А. К-го","Колянковский Александр","Сирота : Романтическая повесть в стихах. В 2 ч.","М.","Лазаревых",1835,195,17,1,0,0,0,1,0,0,0,0,1,3
"55",61,"sep_drama","Т-м-ф-в","Тимофеев Алексей Васильевич","Елизавета Кульман : Фантазия : [Пьеса в стихах]","СПб.","Гинце",1835,135,23,1,1,0,1,0,0,0,0,0,1,4
"56",62,"sep_drama",NA,"Кюхельбекер Вильгельм Карлович","Ижорский : Мистерия","СПб.","III Отд. собств. Е.И.В. канц.",1835,153,21,1,1,0,1,1,0,0,0,1,0,5
"57",63,"sep_nar",NA,NA,"Чуть-чуть не быль : Письмо из Москвы в Б... 1830 года : [В стихах]","М.","Пономарева",1835,18,21,1,1,0,0,0,0,0,0,0,0,2
"58",65,"sep_nar","Алябьев В.","Алябьев, Василий Александрович","Странник: В 2 ч.","М.","Лазаревых",1836,53,22,1,1,1,0,1,0,0,0,0,0,4
"59",66,"sep_nar","Папкевич А.","Папкевич Александр","Старички вещуны : Рус. сказка [в стихах] : В 2 ч.","СПб.","III Отд. собств. Е.И.В. канц.",1836,55,21,1,0,0,0,1,0,0,0,0,0,2
"60",67,"col_nar","А. Я-в","Яковлев А.","Кривой бес. Русская сказка [Стихотворения]","СПб.","Вингебера",1835,35,19,1,0,0,0,0,0,0,0,0,0,1
"61",68,"col_lyr","Баратынский Е.","Баратынский Евгений Абрамович","Сочинения Е. Баратынского: В 2 ч.","М.","А. Семена",1835,189,22,1,1,1,1,1,0,1,1,1,1,9
"62",69,"col_lyr","Венгер Н.","Венгер Николай","Сочинения Николая Венгера в стихах и прозе","М.","Селивановского",1835,68,20,1,0,1,0,0,0,0,0,0,0,2
"63",70,"col_lyr","Деларю М.","Деларю Михаил Данилович","Опыты в стихах Михаила Деларю","СПб.","Деп. внешней торговли",1835,152,20,1,1,1,0,0,1,0,1,0,1,6
"64",71,"col_lyr","Зилов А.","Зилов Алексей Михайлович","Стихотворения Алексея Зилова [Тетрадь 1-я]","М.","Лазаревых института восточных языков",1835,115,23,1,0,0,1,0,0,0,0,0,1,3
"65",73,"col_lyr","Кольцов А.","Кольцов Алексей Васильевич","Стихотворения Алексея Кольцова","М.","Степанова",1835,40,22,1,1,1,0,0,0,0,0,1,1,5
"66",74,"col_lyr","Лебедев В.",NA,"Осенний вечер: [Сб. рассказов и стихов], изданный В. Лебедевым","СПб.","Вингебера",1835,238,18,1,1,0,0,1,0,0,0,0,1,4
"67",75,"col_lyr","Меркли М.","Меркли Михаил Маркович","Стихотворения Михаила Меркли","М.","Степанова",1835,108,22,1,1,1,1,0,0,0,0,0,1,5
"68",77,"col_lyr","Меркли М.","Меркли Михаил Маркович","Стихотворения Михаила Меркли","М.","Кирилова",1836,119,20,1,0,1,0,0,0,0,0,0,0,2
"69",78,"col_lyr","Мятлев И.П.","Мятлев Иван Петрович","Собрание стихотворений","СПб.","Гинце",1835,79,22,1,1,1,0,0,0,0,0,0,0,3
"70",79,"col_nar","Пушкин А.С.","Пушкин Александр Сергеевич","Поэмы и повести Александра Пушкина. Ч. 1.","СПб.","А. Смирдина",1835,232,20,1,1,0,1,1,0,0,0,1,1,6
"71",80,"col_nar","Пушкин А.С.","Пушкин Александр Сергеевич","Поэмы и повести Александра Пушкина. Ч. 2.","СПб.","А. Смирдина",1835,221,20,1,1,1,1,1,0,0,1,1,0,7
"72",81,"col_lyr","Пушкин А.С.","Пушкин Александр Сергеевич","Стихотворения Александра Пушкина. Ч. 4.","СПб.","Имп. Рос. Акад.",1835,189,20,1,1,1,1,1,0,0,0,1,0,6
"73",82,"col_lyr","Риль Ю.",NA,"Четыре русских песни / С аккомп. ф-п. посвященные Ее Сиятельству Графине Наталье Павловне Строгоновой Ю. Рилем.","СПб.","Пеца",1835,11,NA,1,1,0,0,0,0,0,0,0,0,2
"74",84,"col_lyr",NA,"Савурский Николай","Весенняя ветка. Стихотворения","СПб.","Крыловского",1835,70,20,1,0,1,0,0,0,0,0,0,1,3
"75",85,"col_lyr","Т-м-ф-в","Тимофеев Алексей Васильевич","Песни: В 2 ч.","СПб.","Гинце",1835,178,20,1,1,1,0,0,0,0,0,0,1,4
"76",86,"col_lyr","Топчибашев М. Д.","Топчибашев Мирза Джафар","На памятник Императору Александру I. Два стихотворения на Персидском и турецком языках Мирзы Джафара Топчибашева","СПб.","Имп. Акад. наук",1835,7,26,1,1,0,0,0,0,0,0,0,0,2
"77",87,"sep_lyr",NA,NA,"Стихотворение на столетие литейного дома с арсенала в Петербурге 1835 года 6 августа","СПб.","Вингебера",1835,1,NA,1,0,0,0,0,0,0,0,0,0,1
"78",89,"col_lyr","Цитович Н.","Цитович Николай Дмитриевич","Басни Н. Цитовича","СПб.","Крайя",1835,28,20,1,0,0,1,0,0,0,0,0,0,2
"79",90,"col_lyr","Бенедиктов В.","Бенедиктов Владимир Григорьевич","Стихотворения Владимира Бенедиктова","СПб.","Вингебера",1835,106,20,1,1,1,0,0,0,0,0,0,1,4
"80",91,"col_nar","Жуковский В.А.","Жуковский Василий Андреевич","Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 1. Орлеанская дева; лирические стихотворения","СПб.","Экс. загот. гос. бумаг",1835,292,22,1,1,1,0,1,0,0,0,1,0,5
"81",92,"col_lyr","Жуковский В.А.","Жуковский Василий Андреевич","Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 2. Романсы и песни. Элегии. Послания","СПб.","Экс. загот. гос. бумаг",1835,258,22,1,1,1,0,1,0,0,0,1,0,5
"82",93,"col_nar","Жуковский В.А.","Жуковский Василий Андреевич","Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 3. Баллады","СПб.","Экс. загот. гос. бумаг",1835,274,22,1,1,1,0,1,0,0,0,1,0,5
"83",94,"col_nar","Жуковский В.А.","Жуковский Василий Андреевич","Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 4. Баллады","СПб.","Экс. загот. гос. бумаг",1835,224,22,1,1,1,0,1,0,0,0,1,0,5
"84",95,"col_lyr","Аполлон де ***",NA,"Стихотворения Аполлона де ***","М.","Селивановского",1836,41,24,1,1,1,0,1,0,0,0,0,0,4
"85",97,"col_nar","Вельтман А.","Вельтман Александр Фомич","Беглец : Повесть в стихах : С присовокуплением пяти стихотворений","М.","Н. Глазунова",1836,74,17,1,1,1,0,0,0,0,0,0,0,3
"86",98,"sep_nar","Дьячков С.","Дьячков Семен Петрович","Стихотворная сказка о дурачке и о кладе","СПб.","Вингебера",1836,43,19,1,1,1,1,0,0,0,0,0,0,4
"87",99,"col_lyr","Зилов А.","Зилов Алексей Михайлович","Стихотворения Алексея Зилова. Тетрадь 2-я","М.","Лазаревых",1836,68,23,1,0,0,0,0,0,0,0,0,1,2
"88",100,"sep_nar","Кашкин Д.","Кашкин Дмитрий Евгеньевич","Александриада : Поэма","М.","Степанова",1836,99,24,1,1,0,1,0,0,0,0,0,1,4
"89",101,"col_lyr","Кашкин Д.","Кашкин Дмитрий Евгеньевич","Стихотворения Дмитрия Кашкина","М.","Степанова",1836,NA,NA,1,1,1,0,0,0,0,0,0,0,3
"90",102,"sep_nar",NA,NA,"Иванушка-дурачок : Рус. сказка в 2 ч.","СПб.","Рос. Акад.",1836,110,24,1,0,0,0,0,0,0,0,0,0,1
"91",103,"sep_nar",NA,"Коломийцев Николай","Бубновый козырь, или Иванушка дурачок : Сказка в стихах","СПб.","Вингебера",1836,69,22,1,0,0,0,1,0,0,0,0,0,2
"92",105,"sep_drama","Н. К.","Кукольник Нестор Васильевич","Торквато Тассо : Драм. фантазия в 5-ти актах с интермедией, в стихах","СПб.","Праца и К.",1836,166,19,1,1,0,0,1,1,0,0,0,1,5
"93",106,"sep_drama","Н. К.","Кукольник Нестор Васильевич","Джулио Мости : Драм. фантазия в 4 ч. с интермедией в стихах : (Писана в 1832 и 1833 г.)","СПб.","Праца и К.",1836,252,21,1,1,0,1,0,0,0,0,0,1,4
"94",107,"col_lyr","Лавров Н.",NA,"Нравственные результаты XIX века, и стихотворения. Соч. Н. Лаврова","СПб.","Вингебера",1836,73,26,1,1,0,0,0,0,0,0,0,1,3
"95",108,"sep_drama","Н. К.","Кукольник Нестор Васильевич","Двадцать восьмое января 1725 года : Драматическая картина в двух явлениях, в стихах : Сочинение Н.К. (писана в ноябре 1836 года.)","СПб.","Праца и К.",1837,42,20,1,1,0,1,1,0,0,0,0,1,5
"96",109,"sep_drama","Т-м-ф-в","Тимофеев Алексей Васильевич","Рим и Карфаген : Трагедия в 5 д.","СПб.","Гинце",1837,199,20,1,1,0,0,1,0,0,0,0,1,4
"97",110,"sep_nar","Мартынов А.","Мартынов Авксентий Матвеевич","Колдун и его дети : Старин. рус. сказка : [В стихах]","СПб.","Вингебера",1837,47,18,1,0,0,0,0,0,0,0,0,0,1
"98",111,"col_lyr","Мейснер А.","Мейснер Алексей Яковлевич","Стихотворения Алексея Мейснера","М.","А. Семена",1836,270,19,1,1,1,1,1,0,0,0,0,1,6
"99",112,"col_lyr","Полежаев А.И.","Полежаев Александр Иванович","Кальян. Стихотворения Полежаева / Изд. 2","М.","Ун. тип",1836,131,17,1,1,0,0,1,0,0,0,0,1,4
"100",113,"col_lyr","Пуговишников А.М.","Пуговишников Александр Михайлович","Песни, романсы и стихотворения А.П. / Изд. 2","М.","Кирилова",1836,95,15,1,0,0,0,0,0,0,0,0,0,1
"101",114,"col_lyr","Суханов М.","Суханов Михаил Дмитриевич","Время не праздно. Стихотворения крестьянина М. Суханова","СПб.","Вингебера",1836,112,17,1,1,0,0,1,0,0,0,0,1,4
"102",115,"col_lyr","Суханов М.","Суханов Михаил Дмитриевич","Мои сельские досуги","СПб.","Вингебера",1836,110,17,1,1,0,0,0,0,0,0,0,1,3
"103",117,"col_lyr","Тепляков В.Г.","Тепляков Виктор Григорьевич","Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","СПб.","Гутенбергова тип.",1836,194,22,1,1,1,0,0,0,0,0,0,1,4
"104",118,"col_lyr","Тростин Х.","Тростин Христофор","Стихотворения Христофора Тростина","М.","Ун. тип",1836,32,24,1,1,1,0,0,0,0,0,0,0,3
"105",119,"col_nar","Цимбалин К.","Цимбалин Константин Иванович","Сказки и басни К. Цимбалина: В 5 кн.","СПб.","Праца",1836,199,14,1,1,0,0,0,0,0,1,0,1,4
"106",120,"sep_nar","Фукс А.","Фукс Александра Андреевна","Основание города Казани : повесть в стихах, взятая из татарских преданий","Казань","Ун. тип",1836,136,22,0,1,0,1,1,0,0,0,0,1,4
"107",121,"alm_",NA,NA,"Маскерад. Подарок прекрасному полу на 1837 год","СПб.","Гинце",1836,35,16,1,1,0,0,0,0,0,0,0,0,2
"108",122,"col_lyr",NA,NA,"Мечты при луне. Стихотворения","М.","Кирилова",1836,27,19,1,0,0,0,0,0,0,0,0,0,1
"109",124,"col_lyr","Кульчицкий А.","Кульчицкий Александр Яковлевич","Надежда. Собрание сочинений в стихах и прозе / Изд. А. Кульчицкий [Студ. сб.]","Харьков","Ун. тип",1836,284,20,1,0,0,0,0,0,0,0,0,1,2
"110",125,"alm_","Крыловский В.",NA,"Мое новоселье. Альманах на 1836 год, изд. В. Крыловским","СПб.","Крылова",1836,206,12,1,1,0,0,1,0,0,0,0,1,4
"111",127,"sep_lyr",NA,NA,"Куплеты, петые в московском Английском клубе 14 ноября 1836, по случаю праздника, данного членами оного его сиятельству князю Дмитрию Владимировичу Голицыну","М.","А. Семена",1836,3,NA,1,0,1,0,0,0,0,0,0,0,2
"112",128,"col_lyr","Майков М.","Майков Михаил Александрович","Басни Михайла Майкова","Ярославль","Губ. правления",1836,30,22,1,1,0,0,0,0,0,0,0,0,2
"113",129,"sep_nar",NA,"Кюхельбекер Вильгельм Карлович","Русский Декамерон 1831-го года / Изд. И. Ивановым","СПб.","Гутенбергова тип.",1836,82,21,1,1,0,0,0,0,0,0,0,0,2
"114",130,"col_lyr","А. Ф. Ф.",NA,"Роза и Василек. Соч. А.Ф.Ф.","СПб.","Экс. загот. гос. бумаг",1836,11,11,1,0,0,0,0,0,0,0,0,0,1
"115",131,"col_lyr","Щукин К.","Щукин К.","Литературные занятия","СПб.","Акад. наук",1836,252,20,1,1,0,0,1,0,0,0,0,0,3
"116",133,"sep_lyr",NA,NA,"Хвалебное приношение веры новопрославленному Святителю Митрофану, Епископу Воронежскому. Стихотворение в пяти песнях","М.","Ун. тип",1836,119,24,1,1,0,0,0,0,0,0,0,1,3
"117",135,"sep_nar","Чистов В.","Чистов Василий","Смирный муж и бранливая жена : Рус. сказка в 3 ч.","СПб.",NA,1837,111,21,1,0,0,0,0,0,0,0,0,0,1
"118",136,"sep_nar","Ашик А.","Ашик Антон Балтазарович","Изменница: [Поэма]","Одесса","Городская тип.",1837,84,15,1,0,1,0,0,0,0,0,0,0,2
"119",137,"sep_nar","Алякринский И.","Алякринский Иван Петрович","Рогнеда : Романтическая поэма","М.","Степанова",1837,156,21,1,1,1,0,0,0,0,0,0,1,4
"120",138,"col_lyr","Бахтурин К.А.","Бахтурин Константин Александрович","Стихотворения Константина Бахтурина","СПб.","Праца и К.",1837,166,21,1,1,1,1,0,0,0,0,0,0,4
"121",140,"sep_nar","Бернет Е.","Бернет Е.","Граф Мец : [Драма в стихах] : В 2 ч. : (Писано в 1834 г.)","СПб.","Снегирева",1837,80,22,1,1,1,1,1,0,0,0,0,0,5
"122",141,"col_lyr","Бернет Е.","Бернет Е.","Стихи Е. Бернета","СПб.","Снегирева",1837,167,21,1,1,1,0,0,0,0,0,0,1,4
"123",142,"col_lyr","Бороздна И.П.","Бороздна Иван Петрович","Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","М.","Селивановского",1837,242,22,1,1,1,1,1,0,0,0,0,1,6
"124",143,"col_lyr","Бутырский Н.И.","Бутырский Никита Иванович","И моя доля в сонетах. В 2 ч. Соч. Бутырского","СПб.","Вингебера",1837,NA,25,1,1,1,1,0,0,0,0,0,0,4
"125",144,"col_lyr","Быстроглазов А.","Быстроглазов А.","Стихотворения А. Быстроглазова. В 2 ч. Ч. 1","СПб.","Вингебера",1837,154,21,1,1,0,0,1,0,0,1,0,0,4
"126",145,"col_lyr","Быстроглазов А.","Быстроглазов А.","Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","СПб.","Вингебера",1837,186,21,1,1,0,1,1,0,0,1,0,1,6
"127",146,"sep_lyr","Глинка Ф.Н.","Глинка Федор Николаевич","Воспоминание о пиитической жизни Пушкина. Посвящена отцу поэта","М.","А. Семена",1837,14,24,1,1,1,0,0,0,0,0,0,0,3
"128",148,"alm_","Грен Н.","Грен Н.","Вечера минувшей осени: [Лит. сб.] Издание Н. Грена","СПб.","Крылова",1837,144,17,1,0,0,0,0,0,0,0,0,1,2
"129",149,"col_lyr","Дьячков С.","Дьячков Семен Петрович","Букет цветов или разные стихотворения, элегические романсы и песни для прекрасных девиц. Соч. С. Дьячковым","СПб.","Вингебера",1837,31,25,1,1,0,0,0,0,0,0,0,0,2
"130",150,"sep_drama","Глинка В.","Глинка Владимир Сергеевич","Отрочь монастырь : Быль XIII столетия : [Драма в стихах]","СПб.","Гутенбергова тип.",1837,124,17,1,1,0,0,0,0,0,0,0,0,2
"131",151,"sep_lyr",NA,"Огинский Алексей Григорьевич","Ксантиппа : Экспромт : [В стихах]","СПб.","Морск. тип.",1837,4,27,1,0,0,0,0,0,0,0,0,0,1
"132",153,"col_lyr","Кашаев В.","Кашаев Виктор","Стихотворения Виктора Кашаева","М.","Кирилова",1837,43,22,1,1,1,1,0,0,0,0,0,0,4
"133",154,"col_lyr","Мартынов А.","Мартынов Авксентий Матвеевич","Поэтические произведения А. Мартынова. В 3-х кн.","СПб.","Вингебера",1837,249,24,1,1,0,1,1,0,0,0,0,1,5
"134",155,"col_nar","Подолинский А.","Подолинский Андрей Иванович","Повести и мелкие стихотворения А. Подолинского. Ч. 1.","СПб.","А. Смирдина, И. Глазунова и Ко",1836,171,21,1,1,1,1,1,0,0,0,0,1,6
"135",156,"col_lyr","Подолинский А.","Подолинский Андрей Иванович","Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения","СПб.","А. Смирдина, И. Глазунова и Ко",1837,174,21,1,1,1,1,1,0,0,0,0,1,6
"136",157,"sep_nar","Подолинский А.","Подолинский Андрей Иванович","Смерть Пери","СПб.","Праца и К.",1837,71,25,1,1,1,1,0,1,0,0,0,1,6
"137",158,"sep_nar","Пушкин А.С.","Пушкин Александр Сергеевич","Евгений Онегин: Роман в стихах / Изд. 3-е","СПб.","Экс. загот. гос. бумаг",1837,309,10,1,1,1,1,0,0,0,0,0,0,4
"138",159,"col_lyr","Скосырев К.","Скосырев Константин","Стихотворения Константина Скосырева","М.","Кирилова",1837,35,17,1,0,1,0,0,0,0,0,0,0,2
"139",160,"col_lyr","Смирнова А.","Смирнова Анна","Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е","СПб.","Вингебера",1837,145,22,1,1,1,1,1,0,0,0,0,1,6
