"","id","group","author_sign","author_full_name","title","city","publisher","year","pages","size_cm","nlr","rsl","rozanov","us_harvard","cz_slk","lt_vul","pl_bn","pl_buw","ee_ester","fi_sl","spbgu","n_total"
"29",30,"col_lyr","Т-м-ф-в","Тимофеев Алексей Васильевич","XII песен. Отд. 3","СПб.","Греча",1834,32,NA,1,1,0,0,0,0,0,0,0,0,0,2
"30",31,"sep_lyr","Бакунин В.","Бакунин Василий Михайлович","Воспоминания при взгляде на памятник императора Александра Первого : Стихотворение Василия Бакунина","СПб.","Греча",1834,8,23,1,1,0,0,1,0,0,0,0,0,0,3
"31",32,"sep_lyr","Козлов И.","Козлов Иван Иванович","Его Императорскому Высочеству Наследнику Цесаревичу и Великому Князю Александру Николаевичу, в день Его тезоименинства: Стихотворение [Соч. Козлова]","СПб.",NA,1834,7,NA,1,0,0,0,0,0,0,0,0,0,0,1
"32",33,"sep_lyr","Хвостов Д. И.","Хвостов Дмитрий Иванович","22-го апреля в С.-Петербурге 1834 года : Стихотворение гр. Хвостова","СПб.","Акад. наук",1834,3,20,1,1,0,0,0,0,0,1,0,0,0,3
"33",34,"col_lyr",NA,NA,"Песнопения пресвятой и преблагословенной владычице Богородице и приснодеве Марии","М.","Семена",1834,16,20,1,1,0,0,0,0,0,0,0,0,0,2
"34",35,"col_lyr",NA,NA,"Песнопения Святителю Митрофану, первому епископу Воронежскому, новоясленному чудотворцу : [Песнопения] 1-8.","М.","Семена",1834,24,19,1,1,0,0,0,0,0,0,0,0,0,2
"35",36,"sep_lyr","Изрядный",NA,"Каламбур: Стихотворение Изрядного","М.","Пономарева",1834,35,17,1,1,0,0,0,0,0,0,0,0,0,2
"36",37,"col_lyr","Казимиров П.","Казимиров Петр","Стихотворения Петра Казимирова","М.","Степанова",1834,74,17,1,1,0,0,1,0,0,0,0,1,0,4
"37",38,"sep_lyr","Хвостов Д. И.","Хвостов Дмитрий Иванович","Маньчжурская песнь с перевода в прозе, переложенная стихами : 20 янв. 1834 г ","СПб.","Вингебера",1834,10,25,1,1,0,0,0,0,0,0,1,0,0,3
"38",39,"col_lyr","Орлов А.","Орлов Александр Анфимович","Сатиры. 1. Без денег худо жить. 2. О мудрости Соломоновой","М.","Пономарева",1834,31,13,1,1,0,0,0,0,0,0,0,0,0,2
"39",40,"col_lyr",NA,"Мятлев Иван Петрович","Собрание стихотворений","СПб.","вдовы Плюшар с сыном",1834,69,20,1,1,0,0,0,0,0,0,0,0,0,2
"40",41,"sep_lyr","Стромилов С.","Стромилов Семен Иванович<?>","Его императорскому высочеству, государю наследнику цесаревичу и великому князю Александру Николаевичу : Стихотворение С. Стромилова.","М.","Селивановского",1834,8,NA,1,0,0,0,0,0,0,0,0,0,0,1
"41",42,"sep_lyr","Хвостов Д. И.","Хвостов Дмитрий Иванович","30 августа 1834 года : Стихотворение гр. Хвостова","СПб.","Вингебера",1834,8,21,1,1,0,0,0,0,0,0,0,0,0,2
"42",43,"almanac","Фл… Спин..","Фл… Спин..","Незабудка: Московский Альманах. Соч. Фл.... Спин....","М.","Лазаревых",1834,228,17,1,1,0,0,0,0,0,0,0,1,0,3
"43",44,"col_lyr","Мясоедов Гр.","Мясоедов Григорий Андреевич","Подарок друзьям, или Образчики из сочинений ","М.","Ун. тип",1834,31,14,1,0,0,0,0,0,0,0,0,0,0,1
"44",45,"sep_lyr",NA,NA,"Три дня на фоминой неделе, или Продажа остатков : Шуточное стихотворение","М.","Пономарева",1834,12,18,1,1,0,0,0,0,0,0,0,0,0,2
"45",46,"sep_lyr","Зегельбах Федор","Зегельбах Христиан Фридрих","Дань удивления памятнику императора Александра I в день торжественного освящения оного, 30 августа 1834 года, изреченная в слоге древних латинских надписей с российским и немецким переводом","СПб.","Widerholm",1834,6,42,1,1,0,0,0,0,0,0,0,0,0,2
"46",47,"almanac","Максимович М.","Максимович Михаил Александрович","Денница: Альманах на 1834 год","М.","Ун. тип",1834,240,14,1,0,0,0,0,0,0,0,0,1,0,2
"47",48,"almanac",NA,NA,"Подарок бедным: Альманах на 1834 год, изданный новороссийским женским обществом призрения бедных","Одесса","Городская тип.",1834,196,16,1,1,0,0,1,0,0,0,0,1,0,4
"48",49,"almanac",NA,NA,"Досуги Марса: Литературные труды офицеров","СПб.","III Отд. собств. Е.И.В. канц.",1834,283,14,0,1,0,0,0,0,0,0,0,0,0,1
"49",50,"almanac",NA,NA,"Новоселье. Ч. 2","СПб.","вдовы Плюшар с сыном",1834,575,20,1,1,0,1,1,0,0,0,1,0,0,5
"50",51,"almanac",NA,"Орлов Иван И.","Пантеон дружбы на 1834 год. Собранный И. О-м","М.","Степанова",1834,348,NA,1,1,0,0,0,0,0,0,0,1,0,3
"51",52,"col_lyr","Козлов И.","Козлов Иван Иванович","Собрание стихотворений Ивана Козлова / 2-е изд. Ч. 1-2. ","СПб.","Смирдина",1834,NA,20,1,1,1,0,0,0,0,0,0,1,0,4
"52",53,"col_lyr","Крылов И.","Крылов Иван Андреевич","Басни Ивана Крылова / [С илл. А.П. Сапожникова]. Ч. 1-2","СПб.","Смирдина",1834,354,26,1,1,0,1,1,1,0,0,1,1,0,7
"53",54,"col_lyr","Крылов И.","Крылов Иван Андреевич","Басни Ивана Крылова : В 8 кн. / Новое изд., вновь испр. и умнож.","СПб.","Смирдина",1834,379,17,1,1,0,0,0,0,0,0,0,0,0,2
"54",56,"sep_lyr","Тукалевский И.А.","Тукалевский Иосиф Афанасьевич","На открытие памятника Александру Первому : [Стихотворение]","СПб.","Вингебера",1834,2,NA,1,0,0,0,0,0,0,0,0,0,0,1
"55",57,"sep_nar","Краснопольский Н.","Краснопольский Н.","Эдуард : Повесть [в стихах] Н. Красно-Польского. Ч. 1-2","М.","Селивановского",1834,88,19,1,0,0,0,1,0,0,0,0,0,0,2
"56",58,"sep_lyr","Хвостов Д.","Хвостов Дмитрий Иванович","Послание Петру Ивановичу Рикорду, вице-адмиралу и кавалеру в Кронштадте. 1834 года июля 28-го дня : [В стихах] / Соч. гр. Хвостова","СПб.","Вингебера",1834,6,20,1,1,0,0,0,0,0,0,0,0,0,2
"57",59,"col_nar","Машков П.","Машков Петр Алексеевич","Повести [и мечты] / [Соч.] П. Машкова. [Ч. 1-3]. [Ч. 3 : Вероломство ; Стихотворения].","СПб.","Штаба отд. корп. внутр. стражи",1834,202,17,1,0,0,0,0,0,0,0,0,0,0,1
"58",60,"sep_lyr",NA,NA,"Его сиятельству графу Карлу Федоровичу Толю апреля 22 дня 1834 года : [Стихи]",NA,NA,1834,4,35,0,0,0,0,0,0,0,0,1,0,0,1
"59",61,"sep_nar",NA,NA,"Царь-девица : [Сказка в стихах]","М.","Семена",1835,23,24,1,1,1,0,0,0,0,0,0,0,0,3
"60",62,"sep_nar","П. С.","Степанов П.","Поселенцы : Повесть в стихах","СПб.","Степанова",1835,96,18,1,1,0,0,1,0,0,0,0,0,0,3
"61",63,"sep_nar","В. Я-о-е-а","Яковлев В.","Мщение черкеса : Ахалцихское событие","СПб.","Иверсена",1835,24,16,1,1,0,0,0,0,0,0,0,0,0,2
"62",64,"sep_nar","П. К.","Кукольник Павел Васильевич","Мария: Фантастическая повесть в стихах П.К.","Вильно","Гликсберга",1835,29,21,1,0,0,0,0,1,0,0,0,0,0,2
"63",65,"sep_nar","Неведомский Н.","Неведомский Николай Васильевич","Бурка: Поэма","М.","Семена",1835,36,21,1,1,0,1,0,0,0,0,0,0,0,3
"64",66,"sep_nar","Кистерзунк А.","Кистерзунк Антон","Померанская быль : [Стихотворение] ","СПб.","Плюшара",1835,22,21,1,0,0,0,0,0,0,0,0,0,0,1
"65",67,"sep_nar","А. К-го","Колянковский Александр","Сирота : Романтическая повесть в стихах. В 2 ч.","М.","Лазаревых",1835,195,17,1,0,0,0,1,0,0,0,0,1,0,3
"66",68,"sep_nar","Т-м-ф-в","Тимофеев Алексей Васильевич","Елизавета Кульман : Фантазия : [Пьеса в стихах]","СПб.","Гинце",1835,135,23,1,1,0,1,0,0,0,0,0,1,1,5
"67",69,"sep_nar",NA,"Кюхельбекер Вильгельм Карлович","Ижорский : Мистерия","СПб.","III Отд. собств. Е.И.В. канц.",1835,153,21,1,1,0,1,1,0,0,0,1,0,0,5
"68",70,"sep_nar",NA,NA,"Чуть-чуть не быль : Письмо из Москвы в Б... 1830 года : [В стихах]","М.","Пономарева",1835,18,21,1,1,0,0,0,0,0,0,0,0,0,2
"69",72,"col_nar","А. Я-в","Яковлев А.","Кривой бес. Русская сказка [Стихотворения]","СПб.","Вингебера",1835,35,19,1,0,0,0,0,0,0,0,0,0,0,1
"70",73,"col_lyr","Баратынский Е.","Баратынский Евгений Абрамович","Сочинения Е. Баратынского: В 2 ч.","М.","Семена",1835,189,22,1,1,1,1,1,0,1,1,1,1,0,9
"71",75,"col_lyr","Деларю М.","Деларю Михаил Данилович","Опыты в стихах Михаила Деларю","СПб.","Деп. внешней торговли",1835,152,20,1,1,1,0,0,1,0,1,0,1,1,7
"72",76,"col_lyr","Зилов А.","Зилов Алексей Михайлович","Стихотворения Алексея Зилова [Тетрадь 1-я]","М.","Лазаревых",1835,115,23,1,0,0,1,0,0,0,0,0,1,0,3
"73",77,"col_lyr","Кольцов А.","Кольцов Алексей Васильевич","Стихотворения Алексея Кольцова","М.","Степанова",1835,40,22,1,1,1,0,0,0,0,0,1,1,0,5
"74",79,"col_lyr","Меркли М.","Меркли Михаил Маркович","Стихотворения Михаила Меркли","М.","Степанова",1835,108,22,1,1,1,1,0,0,0,0,0,1,0,5
"75",80,"col_lyr","Мятлев И.П.","Мятлев Иван Петрович","Собрание стихотворений","СПб.","Гинце",1835,79,22,1,1,1,0,0,0,0,0,0,0,1,4
"76",81,"col_nar","Пушкин А.С.","Пушкин Александр Сергеевич","Поэмы и повести Александра Пушкина. Ч. 1.","СПб.","Смирдина",1835,232,20,1,1,0,1,1,0,0,0,1,1,0,6
"77",82,"col_nar","Пушкин А.С.","Пушкин Александр Сергеевич","Поэмы и повести Александра Пушкина. Ч. 2.","СПб.","Смирдина",1835,221,20,1,1,1,1,1,0,0,1,1,0,0,7
"78",83,"col_lyr","Пушкин А.С.","Пушкин Александр Сергеевич","Стихотворения Александра Пушкина. Ч. 4.","СПб.","Акад. наук",1835,189,20,1,1,1,1,1,0,0,0,1,0,0,6
"79",84,"col_lyr","Риль Ю.",NA,"Четыре русских песни / С аккомп. ф-п. посвященные Ее Сиятельству Графине Наталье Павловне Строгоновой Ю. Рилем.","СПб.","Пеца",1835,11,NA,0,1,0,0,0,0,0,0,0,0,0,1
"80",85,"col_lyr","Геевский С.Л.","Геевский Степан Лукич","Сочинения и переводы в стихах С.Г.","Харьков","Ун. тип",1835,61,22,1,0,0,0,0,0,0,0,0,0,0,1
"81",86,"col_lyr",NA,"Савурский Николай","Весенняя ветка. Стихотворения","СПб.","Крыловского",1835,70,20,1,0,1,0,0,0,0,0,0,1,1,4
"82",87,"col_lyr","Т-м-ф-в","Тимофеев Алексей Васильевич","Песни: В 2 ч.","СПб.","Гинце",1835,178,20,1,1,1,0,0,0,0,0,0,1,1,5
"83",88,"sep_lyr","Топчибашев М. Д.","Топчибашев Мирза Джафар","На памятник Императору Александру I. Два стихотворения на Персидском и турецком языках Мирзы Джафара Топчибашева","СПб.","Акад. наук",1835,7,26,1,1,0,0,0,0,0,0,0,0,0,2
"84",89,"sep_lyr",NA,NA,"Стихотворение на столетие литейного дома с арсенала в Петербурге 1835 года 6 августа","СПб.","Вингебера",1835,1,NA,1,0,0,0,0,0,0,0,0,0,0,1
"85",90,"col_lyr","Цитович Н.","Цитович Николай Дмитриевич","Басни Н. Цитовича","СПб.","Крайя",1835,28,20,1,0,0,1,0,0,0,0,0,0,0,2
"86",91,"col_lyr","Бенедиктов В.","Бенедиктов Владимир Григорьевич","Стихотворения Владимира Бенедиктова","СПб.","Вингебера",1835,106,20,1,1,1,0,0,0,0,0,0,1,1,5
"87",92,"col_nar","Жуковский В.А.","Жуковский Василий Андреевич","Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 1. Орлеанская дева; лирические стихотворения","СПб.","Экс. загот. гос. бумаг",1835,292,22,1,1,1,0,1,0,0,0,1,0,0,5
"88",93,"col_lyr","Жуковский В.А.","Жуковский Василий Андреевич","Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 2. Романсы и песни. Элегии. Послания","СПб.","Экс. загот. гос. бумаг",1835,258,22,1,1,1,0,1,0,0,0,1,0,0,5
"89",94,"col_nar","Жуковский В.А.","Жуковский Василий Андреевич","Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 3. Баллады","СПб.","Экс. загот. гос. бумаг",1835,274,22,1,1,1,0,1,0,0,0,1,0,0,5
"90",95,"col_nar","Жуковский В.А.","Жуковский Василий Андреевич","Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 4. Баллады","СПб.","Экс. загот. гос. бумаг",1835,224,22,1,1,1,0,1,0,0,0,1,0,0,5
"91",96,"col_lyr","Зилов А.","Зилов Алексей Михайлович","Басни Алексея Зилова. Ч. 5","М.","Лазаревых",1835,69,15,1,1,0,0,0,0,0,0,0,0,0,2
"92",97,"almanac",NA,NA,"Весенние цветы, или Собрание романсов, баллад и песен Пушкина, Жуковского, Козлова, Баратынского, Туманского, Ф. Глинки, Ознобишина, Раича, Маркевича, Вяземского и проч.","М.","Пономарева",1835,222,17,1,1,0,0,0,0,0,0,0,1,1,4
"93",98,"almanac",NA,NA,"Летопись факультетов на 1835 год, изданная в двух книгах А. Галичем и В. Плаксиным. Кн. 1.","СПб.","Глазунова",1835,238,20,1,1,0,0,0,0,0,0,1,1,0,4
"94",100,"sep_lyr",NA,"Бенецкий Николай Францевич","За царя : [Стихотворение] / Пер. Н. Б-н-ц-кий","Ревель",NA,1835,2,NA,1,0,0,0,0,0,0,0,0,0,0,1
"95",101,"sep_lyr",NA,NA,"Князю Дмитрию Владимировичу Голицыну : [Стихотворение]","М.","Семена",1835,2,NA,1,0,0,0,0,0,0,0,0,0,0,1
"96",102,"col_lyr","Хлебников Н.","Хлебников Н.","Подарок друзьям в Новый год : [Сб. стихотворений] Н. Х.......ва","СПб.","Гинце",1835,19,20,1,0,0,0,0,0,0,0,0,0,0,1
"97",103,"sep_lyr","Хвостов Д.","Хвостов Дмитрий Иванович","Стихи на освящение Собора всех учебных заведений в России июля 20 дня 1835 года / граф Хвостов","СПб.","Вингебера",1835,4,21,1,0,0,0,0,0,0,0,0,0,0,1
"98",104,"sep_lyr","Аксаков К.","Аксаков Константин Сергеевич","Стихи, читанные в день празднования учреждения Императорского Московского университета 12-го января 1835","М.","Ун. тип",1835,4,25,1,0,0,0,0,0,0,0,0,0,0,1
"99",105,"sep_lyr","б. издатель Рус. вестн","Глинка Сергей Николаевич","Сила ласки : [Стихотворение] И.М. Снегиреву, издателю русских пословиц. Мая 8-го 1835","М.","Лазаревых",1835,4,20,1,0,0,0,0,0,0,0,0,0,0,1
"100",106,"sep_lyr","Хвостов Д.","Хвостов Дмитрий Иванович","А... Л...... О...... ой 1835 года июля 26 дня","СПб.","Вингебера",1835,1,22,1,0,0,0,0,0,0,0,0,0,0,1
"101",107,"sep_lyr","Малышев Г.","Малышев Григорий Григорьевич","На случай отправления гвардейского отряда в Калиш 14-26-го июля 1835-го года : Стихи сии написаны музыкантом лейб-гвардии Егер. полка Малышевым. ","СПб.","druck. von C. Krav",1835,5,19,1,1,0,0,0,0,0,0,0,0,0,2
"102",108,"sep_lyr","Красноглазов А.","Красноглазов А.","[Стихотв.] Его высокородию, директору Московского коммерческого училища... Титу Алексеевичу Каменецкому, усерднейшее приношение, по случаю получения им от монарших щедрот ордена Станислава 2-й степени, от признательных воспитанников Московского коммерческого училища","М.",NA,1835,4,NA,1,0,0,0,0,0,0,0,0,0,0,1
"103",109,"sep_lyr","Бём А.","Бём Андрей","Утренняя зоря : Стих к Светлому Христову воскресенью","СПб.","Гинце",1835,8,18,0,1,0,0,0,0,0,0,0,0,0,1
"104",110,"col_nar","Никитин А.","Никитин Александр","Повести Александра Никитина : 1-[2]","М.","Степанова",1835,192,18,1,1,0,0,1,0,0,0,0,0,0,3
"105",111,"sep_nar","Алябьев В.","Алябьев, Василий Александрович","Странник: В 2 ч.","М.","Лазаревых",1836,53,22,1,1,1,0,1,0,0,0,0,0,0,4
"106",112,"sep_nar","Папкевич А.","Папкевич Александр","Старички вещуны : Рус. сказка [в стихах] : В 2 ч.","СПб.","III Отд. собств. Е.И.В. канц.",1836,55,21,1,0,0,0,1,0,0,0,0,0,1,3
"107",113,"col_lyr","Меркли М.","Меркли Михаил Маркович","Стихотворения Михаила Меркли","М.","Кирилова",1836,119,20,1,0,1,0,0,0,0,0,0,0,0,2
"108",114,"col_lyr","Аполлон де ***",NA,"Стихотворения Аполлона де ***","М.","Селивановского",1836,41,24,1,1,1,0,1,0,0,0,0,0,0,4
"109",116,"col_nar","Вельтман А.","Вельтман Александр Фомич","Беглец : Повесть в стихах : С присовокуплением пяти стихотворений","М.","Н. Глазунова",1836,74,17,1,1,1,0,0,1,0,0,0,0,0,4
"110",117,"sep_nar","Дьячков С.","Дьячков Семен Петрович","Стихотворная сказка о дурачке и о кладе","СПб.","Вингебера",1836,43,19,1,1,1,1,0,0,0,0,0,0,1,5
"111",118,"col_lyr","Зилов А.","Зилов Алексей Михайлович","Стихотворения Алексея Зилова. Тетрадь 2-я","М.","Лазаревых",1836,68,23,1,0,0,0,0,0,0,0,0,1,0,2
"112",119,"sep_nar","Кашкин Д.","Кашкин Дмитрий Евгеньевич","Александриада : Поэма","М.","Степанова",1836,99,24,1,1,0,1,0,0,0,0,0,1,0,4
"113",120,"col_lyr","Кашкин Д.","Кашкин Дмитрий Евгеньевич","Сочинения Дмитрия Кашкина: В 3 т. Т. 1","М.","Степанова",1836,468,21,1,1,1,0,0,0,0,0,0,0,0,3
"114",121,"sep_nar",NA,NA,"Иванушка-дурачок : Рус. сказка в 2 ч.","СПб.","Акад. наук",1836,110,24,1,0,0,0,0,0,0,0,0,0,0,1
"115",122,"sep_nar","Коломийцев Н.","Коломийцев Николай","Бубновый козырь, или Иванушка дурачок : Сказка в стихах","СПб.","Вингебера",1836,69,22,1,0,0,0,1,0,0,0,0,0,0,2
"116",124,"col_lyr","Мейснер А.","Мейснер Алексей Яковлевич","Стихотворения Алексея Мейснера","М.","Семена",1836,270,19,1,1,1,1,1,0,0,0,0,1,1,7
"117",127,"col_lyr","Суханов М.","Суханов Михаил Дмитриевич","Время не праздно. Стихотворения крестьянина М. Суханова","СПб.","Вингебера",1836,112,17,1,1,0,0,1,0,0,0,0,1,1,5
"118",128,"col_lyr","Суханов М.","Суханов Михаил Дмитриевич","Мои сельские досуги","СПб.","Вингебера",1836,110,17,1,1,0,0,0,0,0,0,0,1,1,4
"119",129,"col_lyr","Тепляков В.Г.","Тепляков Виктор Григорьевич","Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","СПб.","Гутенбергова тип.",1836,194,22,1,1,1,0,0,0,0,0,0,1,1,5
"120",130,"col_lyr","Тростин Х.","Тростин Христофор","Стихотворения Христофора Тростина","М.","Ун. тип",1836,32,24,1,1,1,0,0,0,0,0,0,0,0,3
"121",131,"col_nar","Цимбалин К.","Цимбалин Константин Иванович","Сказки и басни К. Цимбалина: В 5 кн.","СПб.","Праца",1836,199,14,1,1,0,0,0,0,0,1,0,1,0,4
"122",132,"sep_nar","Фукс А.","Фукс Александра Андреевна","Основание города Казани : повесть в стихах, взятая из татарских преданий","Казань","Ун. тип",1836,136,22,0,1,0,1,1,0,0,0,0,1,1,5
"123",133,"almanac",NA,NA,"Маскерад. Подарок прекрасному полу на 1837 год","СПб.","Гинце",1836,35,16,1,1,0,0,0,0,0,0,0,0,1,3
"124",134,"col_lyr",NA,NA,"Мечты при луне. Стихотворения","М.","Кирилова",1836,27,19,1,0,0,0,0,0,0,0,0,0,0,1
"125",136,"almanac","Крыловский В.",NA,"Мое новоселье. Альманах на 1836 год, изд. В. Крыловским","СПб.","Крылова",1836,206,12,1,1,0,0,1,0,0,0,0,1,0,4
"126",137,"sep_lyr",NA,NA,"Куплеты, петые в московском Английском клубе 14 ноября 1836, по случаю праздника, данного членами оного его сиятельству князю Дмитрию Владимировичу Голицыну","М.","Семена",1836,3,NA,1,0,1,0,0,0,0,0,0,0,0,2
"127",139,"sep_nar",NA,"Кюхельбекер Вильгельм Карлович","Русский Декамерон 1831-го года / Изд. И. Ивановым","СПб.","Гутенбергова тип.",1836,82,21,1,1,0,0,0,0,0,0,0,0,0,2
"128",140,"col_lyr","А. Ф. Ф.","А. Ф. Ф.","Роза и Василек. Соч. А.Ф.Ф.","СПб.","Экс. загот. гос. бумаг",1836,11,11,1,0,0,0,0,0,0,0,0,0,0,1
"129",143,"sep_lyr",NA,NA,"Хвалебное приношение веры новопрославленному Святителю Митрофану, Епископу Воронежскому. Стихотворение в пяти песнях","М.","Ун. тип",1836,119,24,1,1,0,0,0,0,0,0,0,1,0,3
"130",144,"col_nar","Подолинский А.","Подолинский Андрей Иванович","Повести и мелкие стихотворения А. Подолинского. Ч. 1.","СПб.","А. Смирдина, И. Глазунова и Ко",1836,171,21,1,1,1,1,1,0,0,0,0,1,1,7
"131",145,"col_lyr",NA,"Ушаков А.А.","Рукописи из зеленого портфеля","М.","Семена",1836,182,22,1,0,0,0,1,0,0,0,0,1,0,3
"132",147,"sep_lyr","П.Ш.","Шереметевский Петр Васильевич","История основания и открытия Императорского Московского воспитательного дома ; [Заветный день, или Сердечное излияние чувствований воспитанника Императорского Московского воспитательного дома в день основания оного, 21 апреля] : [Стихотворение] / Соч. П.Ш.","М.","Степанова",1836,103,18,1,1,0,0,0,0,0,0,0,0,0,2
"133",150,"sep_nar","Мартынов А.","Мартынов Авксентий Матвеевич","Колдун и его дети : Старин. рус. сказка : [В стихах] ","СПб.","Вингебера",1837,47,18,1,0,0,0,0,0,0,0,0,0,0,1
"134",151,"sep_nar","Чистов В.","Чистов Василий","Смирный муж и бранливая жена : Рус. сказка в 3 ч.","СПб.",NA,1837,111,21,1,0,0,0,0,0,0,0,0,0,1,2
